epoch,accuracy,loss,val_accuracy,val_loss
0,0.25,8.572200775146484,0.36888110637664795,1.7276982069015503
1,0.4724999964237213,1.5134812593460083,0.5437062978744507,1.3376038074493408
2,0.5475000143051147,1.2646300792694092,0.6075174808502197,1.1717393398284912
3,0.5975000262260437,1.151614785194397,0.6097028255462646,1.0788706541061401
4,0.6474999785423279,0.9689490795135498,0.6472902297973633,1.003913164138794
5,0.6825000047683716,0.9087210893630981,0.6787587404251099,0.9386954307556152
6,0.7124999761581421,0.8406888842582703,0.6464160680770874,1.0435220003128052
7,0.7400000095367432,0.7711009383201599,0.6472902297973633,1.0363750457763672
8,0.7149999737739563,0.7690284252166748,0.6687062978744507,0.9835548400878906
9,0.7174999713897705,0.8073003888130188,0.6774475574493408,0.9895515441894531
10,0.7250000238418579,0.7699307203292847,0.679632842540741,1.0109162330627441
11,0.7425000071525574,0.7454173564910889,0.7076048851013184,0.9299778342247009
12,0.7724999785423279,0.6729863882064819,0.6997377872467041,0.9638936519622803
13,0.7300000190734863,0.7597959637641907,0.6809440851211548,1.0016332864761353
14,0.7699999809265137,0.6480053663253784,0.6883741021156311,0.9860906004905701
15,0.8125,0.5678215026855469,0.7141608595848083,0.9499213099479675
16,0.7825000286102295,0.5719680190086365,0.7032342553138733,0.97178053855896
17,0.8125,0.5280868411064148,0.7237762212753296,0.9854001998901367
18,0.8299999833106995,0.5017852187156677,0.7159090638160706,0.9362049102783203
19,0.8100000023841858,0.5801331996917725,0.7167832255363464,1.0075808763504028
20,0.8075000047683716,0.5996572971343994,0.7054196000099182,1.0420669317245483
21,0.7825000286102295,0.6118476390838623,0.6993007063865662,1.04150390625
22,0.8199999928474426,0.5156849026679993,0.7180944085121155,0.8846321105957031
23,0.8050000071525574,0.6012422442436218,0.7202796936035156,0.9171018004417419
24,0.8075000047683716,0.46786460280418396,0.7145978808403015,1.0232268571853638
